ID,Case,Task,weather1,weather2,weather3,access1,access2,access3,wait1,wait2,wait3,ivvt1,ivvt2,ivvt3,fare1,fare2,fare3,A,A.bus,A.cyclingPMD,A.saav,N,N.bus,N.cyclingPMD,otherFactors.weather,otherFactors.accessTime,otherFactors.waitingTime,otherFactors.inVehTime,otherFactors.fare,Realistic,Understandable,Age,Gender,HouseholdType,HouseholdSize,Residential,Income,Cars,Concession
1,1,1,0,0,0,5,3,0,7.5,0,5,8,13,5,1.35,0.5,6,A.cyclingPMD,0,1,0,N.cyclingPMD,0,1,1,0,0,0,1,1,1,3,1,4,4,10,1,0,1
2,1,2,0,0,0,5,3,0,7.5,0,3,8,13,3,1.35,0.5,6,A.cyclingPMD,0,1,0,N.cyclingPMD,0,1,1,0,0,0,1,1,1,3,1,4,4,10,1,0,1
3,1,3,0,0,0,5,3,0,7.5,0,3,8,13,5,1.35,0.5,4,A.saav,0,0,1,N.cyclingPMD,0,1,1,0,0,0,1,1,1,3,1,4,4,10,1,0,1
4,1,4,0,0,0,5,3,0,7.5,0,5,8,13,3,1.35,0.5,4,A.saav,0,0,1,N.cyclingPMD,0,1,1,0,0,0,1,1,1,3,1,4,4,10,1,0,1
5,1,5,1,1,1,5,3,0,7.5,0,5,8,13,3,1.35,0.5,6,A.saav,0,0,1,N.bus,1,0,1,0,0,0,1,1,1,3,1,4,4,10,1,0,1
6,1,6,1,1,1,5,3,0,7.5,0,3,8,13,5,1.35,0.5,6,A.saav,0,0,1,N.bus,1,0,1,0,0,0,1,1,1,3,1,4,4,10,1,0,1
7,1,7,1,1,1,5,3,0,7.5,0,5,8,13,5,1.35,0.5,4,A.saav,0,0,1,N.bus,1,0,1,0,0,0,1,1,1,3,1,4,4,10,1,0,1
8,1,8,1,1,1,5,3,0,7.5,0,3,8,13,3,1.35,0.5,4,A.saav,0,0,1,N.bus,1,0,1,0,0,0,1,1,1,3,1,4,4,10,1,0,1
9,2,1,0,0,0,5,3,0,7.5,0,5,8,13,5,1.35,0.5,6,A.cyclingPMD,0,1,0,N.cyclingPMD,0,1,1,0,0,0,1,1,1,3,0,1,3,14,1,0,2
10,2,2,0,0,0,5,3,0,7.5,0,3,8,13,3,1.35,0.5,6,A.cyclingPMD,0,1,0,N.cyclingPMD,0,1,1,0,0,0,1,1,1,3,0,1,3,14,1,0,2
11,2,3,0,0,0,5,3,0,7.5,0,3,8,13,5,1.35,0.5,4,A.cyclingPMD,0,1,0,N.cyclingPMD,0,1,1,0,0,0,1,1,1,3,0,1,3,14,1,0,2
12,2,4,0,0,0,5,3,0,7.5,0,5,8,13,3,1.35,0.5,4,A.cyclingPMD,0,1,0,N.cyclingPMD,0,1,1,0,0,0,1,1,1,3,0,1,3,14,1,0,2
13,2,5,1,1,1,5,3,0,7.5,0,5,8,13,3,1.35,0.5,6,A.saav,0,0,1,N.bus,1,0,1,0,0,0,1,1,1,3,0,1,3,14,1,0,2
14,2,6,1,1,1,5,3,0,7.5,0,3,8,13,5,1.35,0.5,6,A.bus,1,0,0,N.bus,1,0,1,0,0,0,1,1,1,3,0,1,3,14,1,0,2
15,2,7,1,1,1,5,3,0,7.5,0,5,8,13,5,1.35,0.5,4,A.bus,1,0,0,N.bus,1,0,1,0,0,0,1,1,1,3,0,1,3,14,1,0,2
16,2,8,1,1,1,5,3,0,7.5,0,3,8,13,3,1.35,0.5,4,A.cyclingPMD,0,1,0,N.bus,1,0,1,0,0,0,1,1,1,3,0,1,3,14,1,0,2
17,3,1,0,0,0,5,3,0,7.5,0,5,8,13,5,1.35,0.5,6,A.bus,1,0,0,N.bus,1,0,1,0,0,0,1,1,1,3,1,4,4,2,1,0,1
18,3,2,0,0,0,5,3,0,7.5,0,3,8,13,3,1.35,0.5,6,A.bus,1,0,0,N.bus,1,0,1,0,0,0,1,1,1,3,1,4,4,2,1,0,1
19,3,3,0,0,0,5,3,0,7.5,0,3,8,13,5,1.35,0.5,4,A.bus,1,0,0,N.bus,1,0,1,0,0,0,1,1,1,3,1,4,4,2,1,0,1
20,3,4,0,0,0,5,3,0,7.5,0,5,8,13,3,1.35,0.5,4,A.bus,1,0,0,N.bus,1,0,1,0,0,0,1,1,1,3,1,4,4,2,1,0,1
21,3,5,1,1,1,5,3,0,7.5,0,5,8,13,3,1.35,0.5,6,A.bus,1,0,0,N.bus,1,0,1,0,0,0,1,1,1,3,1,4,4,2,1,0,1
22,3,6,1,1,1,5,3,0,7.5,0,3,8,13,5,1.35,0.5,6,A.bus,1,0,0,N.bus,1,0,1,0,0,0,1,1,1,3,1,4,4,2,1,0,1
23,3,7,1,1,1,5,3,0,7.5,0,5,8,13,5,1.35,0.5,4,A.saav,0,0,1,N.bus,1,0,1,0,0,0,1,1,1,3,1,4,4,2,1,0,1
24,3,8,1,1,1,5,3,0,7.5,0,3,8,13,3,1.35,0.5,4,A.saav,0,0,1,N.bus,1,0,1,0,0,0,1,1,1,3,1,4,4,2,1,0,1
25,4,1,0,0,0,5,3,0,7.5,0,5,8,13,5,1.35,0.5,6,A.cyclingPMD,0,1,0,N.cyclingPMD,0,1,0,1,1,1,1,0,1,4,1,5,4,23,3,1,1
26,4,2,0,0,0,5,3,0,7.5,0,3,8,13,3,1.35,0.5,6,A.cyclingPMD,0,1,0,N.cyclingPMD,0,1,0,1,1,1,1,0,1,4,1,5,4,23,3,1,1
27,4,3,0,0,0,5,3,0,7.5,0,3,8,13,5,1.35,0.5,4,A.cyclingPMD,0,1,0,N.cyclingPMD,0,1,0,1,1,1,1,0,1,4,1,5,4,23,3,1,1
28,4,4,0,0,0,5,3,0,7.5,0,5,8,13,3,1.35,0.5,4,A.cyclingPMD,0,1,0,N.cyclingPMD,0,1,0,1,1,1,1,0,1,4,1,5,4,23,3,1,1
29,4,5,1,1,1,5,3,0,7.5,0,5,8,13,3,1.35,0.5,6,A.cyclingPMD,0,1,0,N.cyclingPMD,0,1,0,1,1,1,1,0,1,4,1,5,4,23,3,1,1
30,4,6,1,1,1,5,3,0,7.5,0,3,8,13,5,1.35,0.5,6,A.cyclingPMD,0,1,0,N.cyclingPMD,0,1,0,1,1,1,1,0,1,4,1,5,4,23,3,1,1
31,4,7,1,1,1,5,3,0,7.5,0,5,8,13,5,1.35,0.5,4,A.cyclingPMD,0,1,0,N.cyclingPMD,0,1,0,1,1,1,1,0,1,4,1,5,4,23,3,1,1
32,4,8,1,1,1,5,3,0,7.5,0,3,8,13,3,1.35,0.5,4,A.saav,0,0,1,N.cyclingPMD,0,1,0,1,1,1,1,0,1,4,1,5,4,23,3,1,1
33,5,1,0,0,0,5,3,0,7.5,0,5,8,13,5,1.35,0.5,6,A.cyclingPMD,0,1,0,N.cyclingPMD,0,1,1,1,1,1,1,1,1,3,1,5,4,22,NA,1,1
34,5,2,0,0,0,5,3,0,7.5,0,3,8,13,3,1.35,0.5,6,A.cyclingPMD,0,1,0,N.cyclingPMD,0,1,1,1,1,1,1,1,1,3,1,5,4,22,NA,1,1
35,5,3,0,0,0,5,3,0,7.5,0,3,8,13,5,1.35,0.5,4,A.cyclingPMD,0,1,0,N.cyclingPMD,0,1,1,1,1,1,1,1,1,3,1,5,4,22,NA,1,1
36,5,4,0,0,0,5,3,0,7.5,0,5,8,13,3,1.35,0.5,4,A.cyclingPMD,0,1,0,N.cyclingPMD,0,1,1,1,1,1,1,1,1,3,1,5,4,22,NA,1,1
37,5,5,1,1,1,5,3,0,7.5,0,5,8,13,3,1.35,0.5,6,A.saav,0,0,1,N.bus,1,0,1,1,1,1,1,1,1,3,1,5,4,22,NA,1,1
38,5,6,1,1,1,5,3,0,7.5,0,3,8,13,5,1.35,0.5,6,A.saav,0,0,1,N.bus,1,0,1,1,1,1,1,1,1,3,1,5,4,22,NA,1,1
39,5,7,1,1,1,5,3,0,7.5,0,5,8,13,5,1.35,0.5,4,A.saav,0,0,1,N.bus,1,0,1,1,1,1,1,1,1,3,1,5,4,22,NA,1,1
40,5,8,1,1,1,5,3,0,7.5,0,3,8,13,3,1.35,0.5,4,A.saav,0,0,1,N.bus,1,0,1,1,1,1,1,1,1,3,1,5,4,22,NA,1,1
41,6,1,0,0,0,5,3,0,7.5,0,5,8,13,5,1.35,0.5,6,A.saav,0,0,1,N.bus,1,0,0,1,1,1,0,1,1,3,1,5,4,14,NA,0,1
42,6,2,0,0,0,5,3,0,7.5,0,3,8,13,3,1.35,0.5,6,A.saav,0,0,1,N.bus,1,0,0,1,1,1,0,1,1,3,1,5,4,14,NA,0,1
43,6,3,0,0,0,5,3,0,7.5,0,3,8,13,5,1.35,0.5,4,A.saav,0,0,1,N.bus,1,0,0,1,1,1,0,1,1,3,1,5,4,14,NA,0,1
44,6,4,0,0,0,5,3,0,7.5,0,5,8,13,3,1.35,0.5,4,A.saav,0,0,1,N.bus,1,0,0,1,1,1,0,1,1,3,1,5,4,14,NA,0,1
